Checking available models for your API key...
MODEL: models/gemini-2.5-flash | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.5-pro | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.0-flash | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.0-flash-001 | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.0-flash-lite-001 | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.0-flash-lite | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.5-flash-preview-tts | Methods: ['countTokens', 'generateContent']
MODEL: models/gemini-2.5-pro-preview-tts | Methods: ['countTokens', 'generateContent', 'batchGenerateContent']
MODEL: models/gemma-3-1b-it | Methods: ['generateContent', 'countTokens']
MODEL: models/gemma-3-4b-it | Methods: ['generateContent', 'countTokens']
MODEL: models/gemma-3-12b-it | Methods: ['generateContent', 'countTokens']
MODEL: models/gemma-3-27b-it | Methods: ['generateContent', 'countTokens']
MODEL: models/gemma-3n-e4b-it | Methods: ['generateContent', 'countTokens']
MODEL: models/gemma-3n-e2b-it | Methods: ['generateContent', 'countTokens']
MODEL: models/gemma-4-26b-a4b-it | Methods: ['generateContent', 'countTokens']
MODEL: models/gemma-4-31b-it | Methods: ['generateContent', 'countTokens']
MODEL: models/gemini-flash-latest | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-flash-lite-latest | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-pro-latest | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.5-flash-lite | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-2.5-flash-image | Methods: ['generateContent', 'countTokens', 'batchGenerateContent']
MODEL: models/gemini-3-pro-preview | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-3-flash-preview | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-3.1-pro-preview | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-3.1-pro-preview-customtools | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-3.1-flash-lite-preview | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
MODEL: models/gemini-3-pro-image-preview | Methods: ['generateContent', 'countTokens', 'batchGenerateContent']
MODEL: models/nano-banana-pro-preview | Methods: ['generateContent', 'countTokens', 'batchGenerateContent']
MODEL: models/gemini-3.1-flash-image-preview | Methods: ['generateContent', 'countTokens', 'batchGenerateContent']
MODEL: models/lyria-3-clip-preview | Methods: ['generateContent', 'countTokens']
MODEL: models/lyria-3-pro-preview | Methods: ['generateContent', 'countTokens']
MODEL: models/gemini-robotics-er-1.5-preview | Methods: ['generateContent', 'countTokens']
MODEL: models/gemini-2.5-computer-use-preview-10-2025 | Methods: ['generateContent', 'countTokens']
MODEL: models/deep-research-pro-preview-12-2025 | Methods: ['generateContent', 'countTokens']
